Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,MarketOpen-Closing TimeOfDay,MinimumVolume,Commission,DukasSymbol,Leverage,Lotsize,Base,Quote,Country,Group,Description
UKGILT.TR_GBP,92.818,0.045,0,0,0.01,0,0,unknown,10,0,UKGILTTRGBP,30,1,UKGILT.TR,GBP, GB, BONDS, UK Long Gilt
USTBOND.TR_USD,114.772,0.046,0,0,0.01,0,0,unknown,10,0,USTBONDTRUSD,30,1,USTBOND.TR,USD, US, BONDS, US T-Bond
BUND.TR_EUR,134.058,0.023,0,0,0.01,0,0,unknown,10,0,BUNDTREUR,30,1,BUND.TR,EUR, DE, BONDS, Euro Bund
BRENT.CMD_USD,72.825,0.09,0,0,0.01,0,0,unknown,1,0,BRENTCMDUSD,30,100,BRENT.CMD,USD, US, COM_SPOT, Brent Crude Oil
LIGHT.CMD_USD,69.425,0.09,0,0,0.01,0,0,unknown,1,0,LIGHTCMDUSD,30,100,LIGHT.CMD,USD, US, COM_SPOT, Light Sweet Crude Oil
DIESEL.CMD_USD,682.932,0.642,0,0,0.01,0,0,unknown,1,0,DIESELCMDUSD,30,4,DIESEL.CMD,USD, US, COM_SPOT, Gasoil
SUGAR.CMD_USD,510.26,0.783,0,0,0.01,0,0,unknown,10,0,SUGARCMDUSD,30,1,SUGAR.CMD,USD, US, COM_SPOT, Sugar White
COCOA.CMD_USD,12620.686,8.69,0,0,0.01,0,0,unknown,1,0,COCOACMDUSD,30,1,COCOA.CMD,USD, US, COM_SPOT, US Cocoa
COPPER.CMD_USD,4.0869,0.0046,0,0,0.001,0,0,unknown,20,0,COPPERCMDUSD,30,100,COPPER.CMD,USD, US, COM_SPOT, High Grade Copper
GAS.CMD_USD,3.4027,0.0103,0,0,0.001,0,0,unknown,10,0,GASCMDUSD,10,100,GAS.CMD,USD, US, COM_SPOT, Natural Gas
OJUICE.CMD_USX,532.576,1.919,0,0,0.01,0,0,unknown,300,0,OJUICECMDUSX,30,1,OJUICE.CMD,USX, US, COM_SPOT, Orange Juice
COTTON.CMD_USX,68.021,0.199,0,0,0.01,0,0,unknown,600,0,COTTONCMDUSX,30,1,COTTON.CMD,USX, US, COM_SPOT, Cotton
XPT.CMD_USD,920.867,2.666,0,0,0.01,0,0,unknown,1,0,XPTCMDUSD,10,1,XPT.CMD,USD, US, COM_SPOT, Platinum
SOYBEAN.CMD_USX,950.754,1.752,0,0,0.01,0,0,unknown,400,0,SOYBEANCMDUSX,30,1,SOYBEAN.CMD,USX, US, COM_SPOT, Soybean
COFFEE.CMD_USX,334.11,0.386,0,0,0.01,0,0,unknown,500,0,COFFEECMDUSX,30,1,COFFEE.CMD,USX, US, COM_SPOT, Coffee Arabica
XPD.CMD_USD,904.397,2.206,0,0,0.01,0,0,unknown,1,0,XPDCMDUSD,10,1,XPD.CMD,USD, US, COM_SPOT, Palladium
BTC_USD,100923,75.7,0,0,1,0,0,unknown,0.01,0,BTCUSD,5,1,BTC,USD, US, CRYPTO_CURR, Bitcoin vs US Dollar
ETH_USD,3686.7,7.9,0,0,1,0,0,unknown,1,0,ETHUSD,5,1,ETH,USD, US, CRYPTO_CURR, Ether vs US Dollar
YFI_USD,9169.3,464.4,0,0,1,0,0,unknown,0.01,0,YFIUSD,1,1,YFI,USD, US, CRYPTO_CURR, Yearn Finance vs US Dollar
AVE_USD,347.2,3.23,0,0,0.01,0,0,unknown,0.1,0,AVEUSD,1,1,AVE,USD, US, CRYPTO_CURR, Aave vs US Dollar
CMP_USD,89.57,4.98,0,0,0.1,0,0,unknown,0.1,0,CMPUSD,1,1,CMP,USD, US, CRYPTO_CURR, Compound vs US Dollar
ADA_USD,0.968,0.03,0,0,0.01,0,0,unknown,115,0,ADAUSD,1,1,ADA,USD, US, CRYPTO_CURR, Cardano vs US Dollar
MKR_USD,1674.67,15.7,0,0,0.1,0,0,unknown,0.05,0,MKRUSD,1,1,MKR,USD, US, CRYPTO_CURR, Maker vs US Dollar
BAT_USD,0.23295,0.01983,0,0,0.0001,0,0,unknown,100,0,BATUSD,1,1,BAT,USD, US, CRYPTO_CURR, Basic Attnetion Token vs US Dollar
BCH_USD,486.5,2.3,0,0,1,0,0,unknown,1,0,BCHUSD,5,1,BCH,USD, US, CRYPTO_CURR, Bitcoin Cash vs US Dollar
EOS_USD,0.8994,0.049,0,0,0.001,0,0,unknown,1000,0,EOSUSD,5,1,EOS,USD, US, CRYPTO_CURR, EOS vs US Dollar
TRX_USD,0.26145,0.00076,0,0,0.0001,0,0,unknown,2500,0,TRXUSD,1,1,TRX,USD, US, CRYPTO_CURR, TRON vs US Dollar
XLM_USD,0.40205,0.00111,0,0,0.0001,0,0,unknown,2500,0,XLMUSD,5,1,XLM,USD, US, CRYPTO_CURR, XLM - Stellar vs US Dollar
LNK_USD,25.473,0.321,0,0,0.01,0,0,unknown,4,0,LNKUSD,1,1,LNK,USD, US, CRYPTO_CURR, Chainlink vs US Dollar
MAT_USD,0.506,0.035,0,0,0.01,0,0,unknown,100,0,MATUSD,1,1,MAT,USD, US, CRYPTO_CURR, Polygon vs US Dollar
DSH_USD,38.427,1.556,0,0,0.01,0,0,unknown,1,0,DSHUSD,1,1,DSH,USD, US, CRYPTO_CURR, Dashcoin vs US Dollar
UNI_USD,14.881,0.237,0,0,0.01,0,0,unknown,5,0,UNIUSD,1,1,UNI,USD, US, CRYPTO_CURR, Uniswap vs US Dollar
LTC_USD,109.9,1.9,0,0,1,0,0,unknown,10,0,LTCUSD,5,1,LTC,USD, US, CRYPTO_CURR, Litecoin vs US Dollar
SPY.US_USD,586.177,0.016,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,SPYUSUSD,10,1,SPY.US,USD, US, ETF, SPDR S&P 500 ETF
EEM.US_USD,41.926,0.018,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,EEMUSUSD,10,1,EEM.US,USD, US, ETF, iShares MSCI Emerging Markets ETF
IWM.US_USD,220.766,0.048,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,IWMUSUSD,10,1,IWM.US,USD, US, ETF, iShares Russell 2000 ETF
JNK.US_USD,95.416,0.028,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,JNKUSUSD,10,1,JNK.US,USD, US, ETF, SPDR Barclays Capital High Yield Bond ETF
