Name,Price,spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Market,Multiplier,commission,symbol,leverage,Lotsize,Base,Quote
EURUSD,1.08567,0.000109,-0.64000,0.20000,0.00010,9.20996887,200.00,UTC:21:01-20:59,1000.00000000,0.00,EURUSD,500,100000.00,EUR,USD
GBPUSD,1.27513,0.000137,-0.31000,-0.20000,0.00010,9.20996887,234.90,UTC:21:01-20:59,1000.00000000,0.00,GBPUSD,500,100000.00,GBP,USD
USDJPY,156.868,0.0120,1.23000,-2.62000,0.010,5.87102532,184.28,UTC:21:01-20:59,1000.00000000,0.00,USDJPY,500,100000.00,USD,JPY
AUDUSD,0.66450,0.000110,-0.36000,0.08000,0.00010,9.20996887,122.38,UTC:21:01-20:59,1000.00000000,0.00,AUDUSD,500,100000.00,AUD,USD
USDCHF,0.91376,0.000133,0.74000,-1.20000,0.00010,10.07810532,184.28,UTC:21:01-20:59,1000.00000000,0.00,USDCHF,500,100000.00,USD,CHF
USDCAD,1.36564,0.000126,-0.07000,-0.47000,0.00010,6.74390688,184.28,UTC:21:01-20:59,1000.00000000,0.00,USDCAD,500,100000.00,USD,CAD
GBPAUD,1.91868,0.000302,0.08000,-0.94000,0.00010,6.12058782,234.90,UTC:21:01-20:59,1000.00000000,0.00,GBPAUD,500,100000.00,GBP,AUD
GBPCHF,1.16516,0.000299,0.94000,-1.48000,0.00010,10.07810532,234.90,UTC:21:01-20:59,1000.00000000,0.00,GBPCHF,500,100000.00,GBP,CHF
AUDCAD,0.90748,0.000196,-0.37000,-0.11000,0.00010,6.74390688,122.38,UTC:21:01-20:59,1000.00000000,0.00,AUDCAD,500,100000.00,AUD,CAD
AUDNZD,1.08187,0.000225,-0.62000,0.06000,0.00010,5.65674850,122.39,UTC:21:01-20:59,1000.00000000,0.00,AUDNZD,500,100000.00,AUD,NZD
AUDCHF,0.60720,0.000176,0.32000,-0.62000,0.00010,10.07810532,122.39,UTC:21:01-20:59,1000.00000000,0.00,AUDCHF,500,100000.00,AUD,CHF
EURGBP,0.85136,0.000131,-0.50000,0.09000,0.00010,11.74411913,200.00,UTC:21:01-20:59,1000.00000000,0.00,EURGBP,500,100000.00,EUR,GBP
EURCHF,0.99208,0.000162,0.47000,-0.95000,0.00010,10.07810532,200.00,UTC:21:01-20:59,1000.00000000,0.00,EURCHF,500,100000.00,EUR,CHF
EURAUD,1.63367,0.000173,-0.51000,-0.31000,0.00010,6.12058782,200.00,UTC:21:01-20:59,1000.00000000,0.00,EURAUD,500,100000.00,EUR,AUD
NZDUSD,0.61415,0.000130,-0.14000,-0.14000,0.00010,9.20996887,113.07,UTC:21:01-20:59,1000.00000000,0.00,NZDUSD,500,100000.00,NZD,USD
EURJPY,170.311,0.0164,0.63000,-2.25000,0.010,5.87102532,200.00,UTC:21:01-20:59,1000.00000000,0.00,EURJPY,500,100000.00,EUR,JPY
GBPJPY,200.029,0.0251,1.38000,-3.32000,0.010,5.87102532,234.91,UTC:21:01-20:59,1000.00000000,0.00,GBPJPY,500,100000.00,GBP,JPY
AUDJPY,104.246,0.0123,0.45000,-1.48000,0.010,5.87102532,122.39,UTC:21:01-20:59,1000.00000000,0.00,AUDJPY,500,100000.00,AUD,JPY
CHFJPY,171.652,0.0226,0.07000,-1.06000,0.010,5.87102532,201.53,UTC:21:01-20:59,1000.00000000,0.00,CHFJPY,500,100000.00,CHF,JPY
CADJPY,114.861,0.0164,0.69000,-1.80000,0.010,5.87102532,134.93,UTC:21:01-20:59,1000.00000000,0.00,CADJPY,500,100000.00,CAD,JPY
NZDJPY,96.343,0.0185,0.71000,-1.65000,0.010,5.87102532,113.07,UTC:21:01-20:59,1000.00000000,0.00,NZDJPY,500,100000.00,NZD,JPY
CADCHF,0.66906,0.000179,0.47000,-0.80000,0.00010,10.07810532,134.93,UTC:21:01-20:59,1000.00000000,0.00,CADCHF,500,100000.00,CAD,CHF
