sep=,
Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Market,Multiplier,Commission,Symbol,Leverage,Lotsize,Base,Quote,Country,Group,Description
EURUSD,1.06287,0.000105,-0.63000,0.23000,0.00010,9.40760322,200.00,UTC:22:01-21:59,1000.00000000,0.00,EURUSD,500,100000.00,EUR,USD,,,Euro vs US Dollar
GBPUSD,1.27454,0.000130,-0.25000,-0.27000,0.00010,9.40769173,240.03,UTC:22:01-21:59,1000.00000000,0.00,GBPUSD,500,100000.00,GBP,USD,,,British Pound vs US Dollar
USDJPY,154.850,0.0134,0.85000,-2.24000,0.010,6.07503888,188.27,UTC:22:01-21:59,1000.00000000,0.00,USDJPY,500,100000.00,USD,JPY,,,US Dollar vs Japanese Yen
AUDUSD,0.65260,0.000125,-0.20000,-0.08000,0.00010,9.40786874,122.93,UTC:22:01-21:59,1000.00000000,0.00,AUDUSD,500,100000.00,AUD,USD,,,Australian vs US Dollar
USDCHF,0.88238,0.000123,0.58000,-1.11000,0.00010,10.66075350,188.27,UTC:22:01-21:59,1000.00000000,0.00,USDCHF,500,100000.00,USD,CHF,,,US Dollar vs Swiss Franc
USDCAD,1.39524,0.000126,0.11000,-0.69000,0.00010,6.74254275,188.27,UTC:22:01-21:59,1000.00000000,0.00,USDCAD,500,100000.00,USD,CAD,,,US Dollar vs Canadian
GBPAUD,1.95280,0.000248,-0.25000,-0.61000,0.00010,6.13994155,240.04,UTC:22:01-21:59,1000.00000000,0.00,GBPAUD,500,100000.00,GBP,AUD,,,British Pound vs Australian Dollar
GBPCHF,1.12465,0.000179,0.51000,-1.49000,0.00010,10.66063985,240.04,UTC:22:01-21:59,1000.00000000,0.00,GBPCHF,500,100000.00,GBP,CHF,,,British Pound vs Swiss Franc
AUDCAD,0.91053,0.000236,-0.03000,-0.41000,0.00010,6.74213362,122.94,UTC:22:01-21:59,1000.00000000,0.00,AUDCAD,500,100000.00,AUD,CAD,,,Australian Dollar vs Canadian Dollar
AUDNZD,1.10052,0.000270,-0.37000,-0.18000,0.00010,5.57836487,122.94,UTC:22:01-21:59,1000.00000000,0.00,AUDNZD,500,100000.00,AUD,NZD,,,Australian vs New Zealand Dollar
AUDCHF,0.57585,0.000204,0.35000,-0.70000,0.00010,10.66052620,122.94,UTC:22:01-21:59,1000.00000000,0.00,AUDCHF,500,100000.00,AUD,CHF,,,Australian Dollar vs Swiss Franc
EURGBP,0.83387,0.000111,-0.56000,0.15000,0.00010,11.99069522,200.00,UTC:22:01-21:59,1000.00000000,0.00,EURGBP,500,100000.00,EUR,GBP,,,Euro vs British Pound
EURCHF,0.93787,0.000165,0.36000,-0.85000,0.00010,10.66052620,200.00,UTC:22:01-21:59,1000.00000000,0.00,EURCHF,500,100000.00,EUR,CHF,,,Euro vs Swiss Franc
EURAUD,1.62849,0.000219,-0.91000,0.10000,0.00010,6.13994155,200.00,UTC:22:01-21:59,1000.00000000,0.00,EURAUD,500,100000.00,EUR,AUD,,,Euro vs Australian Dollar
NZDUSD,0.59295,0.000136,-0.13000,-0.14000,0.00010,9.40671828,111.68,UTC:22:01-21:59,1000.00000000,0.00,NZDUSD,500,100000.00,NZD,USD,,,New Zealand Dollar vs US Dollar
EURJPY,164.601,0.0216,0.20000,-1.79000,0.010,6.07455914,200.00,UTC:22:01-21:59,1000.00000000,0.00,EURJPY,500,100000.00,EUR,JPY,,,Euro vs Japanese Yen
GBPJPY,197.380,0.0169,1.02000,-2.95000,0.010,6.07448534,240.06,UTC:22:01-21:59,1000.00000000,0.00,GBPJPY,500,100000.00,GBP,JPY,,,British Pound vs Japanese Yen
AUDJPY,101.064,0.0167,0.44000,-1.45000,0.010,6.07459604,122.95,UTC:22:01-21:59,1000.00000000,0.00,AUDJPY,500,100000.00,AUD,JPY,,,Australian Dollar vs Japanese Yen
