sep =,
Number,net_profit,Balance,Symbol,Mode,Volume,OpenDate,OpenTime,CloseDate,CloseTime,OpenPrice,ClosePrice,TradeMargin
1,5.07,10005.07,NZDCAD,Long,1000.0,2024.01.05,13:32:00,2024.01.05,,0.82836,,1.66
2,-3.87,10001.20,NZDCAD,Long,1000.0,2024.01.01,23:10:00,2024.01.05,,0.83730,,1.67

3,0.91,10002.11,NZDCAD,Long,1000.0,2024.01.05,15:04:00,2024.01.05,,0.83365,,1.67

4,0.66,10002.77,NZDCAD,Long,1000.0,2024.01.05,15:27:00,2024.01.05,,0.83473,,1.67

5,0.63,10003.40,NZDCAD,Long,1000.0,2024.01.05,15:40:00,2024.01.09,,0.83573,,1.67

6,0.71,10004.11,NZDCAD,Long,1000.0,2024.01.09,15:08:00,2024.01.12,,0.83666,,1.67
